Geneid,REM_1,REM_2,REM_3,EIDD_1,EIDD_2,EIDD_3,EIDD_4,Control_1,Control_2,Control_3,Control_4
ENSMAUG00000009018,435,659,452,458,625,476,176,154,86,544,171
ENSMAUG00000009034,396,258,312,224,344,199,102,47,34,202,49
ENSMAUG00000009046,108,167,89,276,318,198,132,169,104,348,299
ENSMAUG00000009091,302,221,286,102,141,132,28,72,41,176,69
ENSMAUG00000009107,272,233,364,266,300,197,132,129,69,324,152
ENSMAUG00000009112,927,855,956,485,502,317,229,186,120,508,224
ENSMAUG00000009129,0,0,0,0,0,1,0,0,0,0,0
ENSMAUG00000009140,4810,3776,3828,2886,3743,3368,1282,1602,824,3960,1950
ENSMAUG00000009157,6524,4361,4795,1043,1145,1676,397,632,312,1548,760
ENSMAUG00000009158,173,300,200,53,65,58,38,30,20,93,51
ENSMAUG00000009171,44,52,58,28,73,71,17,20,14,59,39
ENSMAUG00000009176,575,528,828,172,200,180,111,113,47,268,118
ENSMAUG00000009185,1251,1347,1735,1268,1780,1404,752,345,118,1458,370
ENSMAUG00000009191,2557,1932,2079,447,584,415,213,266,136,628,264
ENSMAUG00000009198,2895,2000,2183,528,706,538,184,181,124,716,283
ENSMAUG00000009249,464,397,329,529,921,566,256,220,129,643,305
ENSMAUG00000009263,266,230,532,974,1169,863,509,426,203,1336,569
ENSMAUG00000009283,26,42,66,117,145,93,9,0,0,38,2
ENSMAUG00000009290,507,210,254,69,93,83,58,194,121,215,274
ENSMAUG00000009324,208,204,312,96,80,76,86,84,47,114,107
ENSMAUG00000009339,539,440,536,338,608,273,148,139,48,438,262
ENSMAUG00000009340,122,104,193,100,127,64,75,63,64,186,37
ENSMAUG00000009348,7374,9889,3611,1206,1223,1079,565,648,253,1647,1008
ENSMAUG00000009390,50,24,80,46,100,34,16,4,4,44,8
ENSMAUG00000009429,6,15,0,5,12,6,3,0,4,15,8
ENSMAUG00000009447,16,48,50,99,181,72,53,22,28,126,38
ENSMAUG00000009471,2999,2838,2565,714,896,900,249,290,144,1053,342
ENSMAUG00000009488,416,229,344,95,159,120,36,34,26,147,39
ENSMAUG00000009492,342,204,244,205,322,118,158,139,129,346,235
ENSMAUG00000009501,1394,1620,2146,385,351,367,221,292,189,486,358
ENSMAUG00000009515,1539,1739,1284,836,1109,676,375,398,201,961,398
ENSMAUG00000009518,2361,1814,1925,382,420,409,177,312,203,648,334
ENSMAUG00000009531,1576,1181,1608,250,339,253,69,192,88,427,313
ENSMAUG00000009536,1619,1229,1414,353,345,314,187,240,160,497,301
ENSMAUG00000009538,807,663,508,1364,1899,1346,494,564,306,1783,794
ENSMAUG00000009555,1632,1296,1451,323,385,387,127,153,64,392,162
ENSMAUG00000009581,0,0,0,0,1,0,0,0,0,2,0
ENSMAUG00000009591,595,621,600,303,390,252,138,131,97,326,147
ENSMAUG00000009592,30,58,60,34,38,13,12,8,17,30,6
ENSMAUG00000009599,8462,8503,8355,1702,1818,1287,999,1513,1092,2098,2251
ENSMAUG00000009610,74,106,112,423,630,325,219,117,67,458,178
ENSMAUG00000009640,1099,1192,1324,1184,1642,1109,684,372,186,1312,508
ENSMAUG00000009641,696,1022,1220,298,302,325,182,116,108,311,116
ENSMAUG00000009666,114,126,104,225,300,169,155,53,24,275,93
ENSMAUG00000009677,36,68,152,59,81,48,33,21,4,77,16
ENSMAUG00000009683,15,4,18,23,9,6,18,8,4,22,0
ENSMAUG00000009710,5070,4786,4314,2622,4041,2067,1014,2725,942,5749,5010
ENSMAUG00000009733,1347,1284,1418,658,748,459,400,462,363,927,730
ENSMAUG00000009755,3357,2676,3519,1508,1887,1565,626,822,496,1988,953
ENSMAUG00000009807,1402,1145,1122,164,216,165,54,127,71,351,146
ENSMAUG00000009825,4019,3132,3233,844,838,854,350,540,325,1239,713
ENSMAUG00000009840,312,151,263,65,64,54,28,24,18,53,31
ENSMAUG00000009864,26562,16469,20687,4752,6336,4663,2196,5423,2982,9881,6972
ENSMAUG00000009898,28723,28255,21339,6673,9435,4870,3248,4305,2673,9291,9330
ENSMAUG00000009901,707,761,1188,204,175,153,101,282,232,302,328
ENSMAUG00000009949,180,148,194,203,177,130,98,57,18,197,56
ENSMAUG00000009987,26,20,38,261,419,249,170,122,96,348,97
ENSMAUG00000010022,284,195,201,26,57,24,17,51,21,72,72
ENSMAUG00000010025,226,253,347,331,392,182,166,88,105,265,170
